epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.23726,4.35313,0.07547,0.24528,4.63941,3.822e-05,3.822e-05,3.822e-05
2,8.51326,4.03855,0.09434,0.39623,4.03252,7.67105e-05,7.67105e-05,7.67105e-05
3,14.5968,3.55468,0.15094,0.56604,3.45022,0.000113615,0.000113615,0.000113615
4,20.2721,3.08297,0.18868,0.77358,2.79942,0.000148935,0.000148935,0.000148935
5,24.3785,2.43378,0.24528,0.90566,2.28693,0.000167586,0.000167586,0.000167586
6,27.1556,1.96695,0.5283,0.98113,1.64122,0.000163982,0.000163982,0.000163982
7,29.8399,1.5248,0.69811,1,1.23886,0.000160378,0.000160378,0.000160378
8,32.5793,1.1205,0.86792,1,0.80025,0.000156775,0.000156775,0.000156775
9,35.3251,0.81245,0.90566,1,0.53987,0.000153171,0.000153171,0.000153171
10,38.1042,0.69184,0.96226,1,0.37421,0.000149568,0.000149568,0.000149568
11,40.7888,0.53017,0.98113,1,0.26128,0.000145964,0.000145964,0.000145964
12,43.561,0.32911,1,1,0.17108,0.00014236,0.00014236,0.00014236
13,46.3898,0.25811,1,1,0.10733,0.000138757,0.000138757,0.000138757
14,49.1642,0.23355,1,1,0.07622,0.000135153,0.000135153,0.000135153
15,51.8148,0.19758,1,1,0.06058,0.00013155,0.00013155,0.00013155
16,54.5191,0.18047,1,1,0.04195,0.000127946,0.000127946,0.000127946
17,57.216,0.1808,1,1,0.03794,0.000124342,0.000124342,0.000124342
18,59.9982,0.12518,1,1,0.03243,0.000120739,0.000120739,0.000120739
19,62.9328,0.12487,1,1,0.02737,0.000117135,0.000117135,0.000117135
20,65.6212,0.11366,1,1,0.02567,0.000113532,0.000113532,0.000113532
21,68.3034,0.10667,1,1,0.02032,0.000109928,0.000109928,0.000109928
22,70.9186,0.10045,1,1,0.01949,0.000106324,0.000106324,0.000106324
23,73.5886,0.1081,1,1,0.01777,0.000102721,0.000102721,0.000102721
24,76.2815,0.07265,1,1,0.01563,9.91172e-05,9.91172e-05,9.91172e-05
25,78.9762,0.05999,1,1,0.01604,9.55136e-05,9.55136e-05,9.55136e-05
26,81.6138,0.08495,1,1,0.01249,9.191e-05,9.191e-05,9.191e-05
27,84.2672,0.08087,1,1,0.01267,8.83064e-05,8.83064e-05,8.83064e-05
28,86.8946,0.09985,1,1,0.01136,8.47028e-05,8.47028e-05,8.47028e-05
29,89.5561,0.09206,1,1,0.01224,8.10992e-05,8.10992e-05,8.10992e-05
30,92.3278,0.08037,1,1,0.01037,7.74956e-05,7.74956e-05,7.74956e-05
31,95.0112,0.06822,1,1,0.01015,7.3892e-05,7.3892e-05,7.3892e-05
32,97.9935,0.06337,1,1,0.01043,7.02884e-05,7.02884e-05,7.02884e-05
33,100.931,0.08161,1,1,0.00886,6.66848e-05,6.66848e-05,6.66848e-05
34,103.746,0.07427,1,1,0.0097,6.30812e-05,6.30812e-05,6.30812e-05
35,106.836,0.06311,1,1,0.00805,5.94776e-05,5.94776e-05,5.94776e-05
36,109.495,0.04644,1,1,0.00765,5.5874e-05,5.5874e-05,5.5874e-05
37,112.116,0.04609,1,1,0.00939,5.22704e-05,5.22704e-05,5.22704e-05
38,114.71,0.0646,1,1,0.00741,4.86668e-05,4.86668e-05,4.86668e-05
39,117.352,0.06494,1,1,0.00872,4.50632e-05,4.50632e-05,4.50632e-05
40,119.992,0.06852,1,1,0.00724,4.14596e-05,4.14596e-05,4.14596e-05
41,122.613,0.06206,1,1,0.00691,3.7856e-05,3.7856e-05,3.7856e-05
42,125.238,0.06184,1,1,0.00766,3.42524e-05,3.42524e-05,3.42524e-05
43,127.959,0.04329,1,1,0.00797,3.06488e-05,3.06488e-05,3.06488e-05
44,130.627,0.05047,1,1,0.00782,2.70452e-05,2.70452e-05,2.70452e-05
45,133.33,0.06229,1,1,0.00716,2.34416e-05,2.34416e-05,2.34416e-05
46,136.005,0.05918,1,1,0.00697,1.9838e-05,1.9838e-05,1.9838e-05
47,138.694,0.05206,1,1,0.00723,1.62344e-05,1.62344e-05,1.62344e-05
48,141.319,0.06103,1,1,0.00658,1.26308e-05,1.26308e-05,1.26308e-05
49,143.972,0.05028,1,1,0.00691,9.0272e-06,9.0272e-06,9.0272e-06
50,146.609,0.04269,1,1,0.0069,5.4236e-06,5.4236e-06,5.4236e-06
